,Title,Note,URL,Tags,Comment,lat,lng
63,Genki Sushi 313@somerset,"Japanese, $30, 1h",https://www.google.com/maps/place/Genki+Sushi+313@somerset/data=!4m2!3m1!1s0x31da19dc20287abd:0x62b30f7ab0f1fa9f,,,1.3009665,103.8384727
64,Adventure Cove Waterpark,"Theme Park, $50, 4h",https://www.google.com/maps/place/Adventure+Cove+Waterpark/data=!4m2!3m1!1s0x31da1bfdc5e1404b:0x3062eba361bde102,,,1.2587643,103.8196847
65,Mega Adventure - Singapore,"Theme Park, $30, 2h",https://www.google.com/maps/place/Mega+Adventure+-+Singapore/data=!4m2!3m1!1s0x31da1bfbef3a1ba7:0x4473f101106492d6,,,1.2559413,103.8122967
66,Gwanghwamun Mijin,"Korean, $20, 1.5h",https://www.google.com/maps/place/Gwanghwamun+Mijin/data=!4m2!3m1!1s0x31da199e0badf3d5:0x8cb9d5aa15a0b2fa,,,1.2831505,103.8488031
67,Wild Wild Wet,"Theme Park, $50, 4h",https://www.google.com/maps/place/Wild+Wild+Wet/data=!4m2!3m1!1s0x31da3db15183fc2b:0xb94e26060c533c72,,,1.3775946,103.9544243
68,Maxwell MRT Station (TE18),,https://www.google.com/maps/place/Maxwell+MRT+Station+(TE18)/data=!4m2!3m1!1s0x31da195f6353ba9f:0x18dfd56fcbfc1f96,,,1.2806891,103.8440869
69,APT - A Place To • Coffee • Cocktail,"Bar, $25, 1h",https://www.google.com/maps/place/APT+-+A+Place+To+%E2%80%A2+Coffee+%E2%80%A2+Cocktail/data=!4m2!3m1!1s0x31da195aad198bc7:0x7ae2e81a99c24d9,,,1.2782322,103.8438523
70,Somerset MRT Station (NS23),,https://www.google.com/maps/place/Somerset+MRT+Station+(NS23)/data=!4m2!3m1!1s0x31da19b67f915e05:0x343c6b716e8bc4ae,,,1.300584,103.8385369
71,Promenade MRT Station (DT15),,https://www.google.com/maps/place/Promenade+MRT+Station+(DT15)/data=!4m2!3m1!1s0x31da1948f471afa9:0xddf4adbe6dc2289f,,,1.2940337,103.860359
72,Tanjong Pagar MRT Station (EW15),,https://www.google.com/maps/place/Tanjong+Pagar+MRT+Station+(EW15)/data=!4m2!3m1!1s0x31da19f987ed1cf1:0x468960d027d93cd3,,,1.2767709,103.8451658
73,Outram Park MRT Station (EW16),,https://www.google.com/maps/place/Outram+Park+MRT+Station+(EW16)/data=!4m2!3m1!1s0x31da199c2c3270b1:0xc23769edf0d9b8a0,,,1.2814265,103.8391803
74,Clarke Quay MRT Station (NE5),,https://www.google.com/maps/place/Clarke+Quay+MRT+Station+(NE5)/data=!4m2!3m1!1s0x31da191e9a21b11b:0x91c19a30921fa39c,,,1.2881606,103.8466985
